BoosterVersion,LaunchSite,Latitude,Longitude,PayloadMass,Orbit,LandingOutcome
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,500.0,PO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2296.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,1316.0,LEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2216.0,ISS,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2395.0,ISS,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,570.0,ES-L1,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,1898.0,ISS,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2034.0,LEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,553.0,PO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,5271.0,GTO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3136.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,4696.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3100.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,1800.0,GTO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2257.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,4600.0,GTO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,9600.0,PO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,2490.0,ISS,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,5300.0,GTO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,LEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,2708.0,ISS,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,3669.0,GTO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,9600.0,PO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,2910.0,ISS,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,475.0,SSO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,4990.0,LEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,9600.0,PO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,5200.0,GTO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,3700.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2205.0,ISS,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,9600.0,PO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,LEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,4230.0,GTO,True
Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,1350.0,HCO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,350.0,HEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,3750.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,7076.0,GTO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,9600.0,PO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,5800.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,7060.0,GTO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,2800.0,SSO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,3000.0,GTO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,4000.0,SSO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2573.0,ISS,False
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,9600.0,PO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,5000.0,GTO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,12259.0,ISS,True
Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,6000.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2482.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13200.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,1425.0,SSO,True
Falcon Heavy,KSC LC 39A,28.6080585,-80.6039558,600.0,MEO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2227.7,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,5000.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,6800.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,False
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,1977.0,ISS,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,False
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,9525.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3880.0,MEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,GEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,1600.0,SSO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3681.0,MEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,1440.0,PO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,2972.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,7000.0,GTO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3500.0,GTO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,SSO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,False
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,15600.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13520.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,15600.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,3328.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,7000.0,GTO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3681.0,MEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,SSO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,15600.0,PO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,LEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,12519.0,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,LEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,670.0,TLI,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,PO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,330.0,LEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,PO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3500.0,GTO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,LEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,2240.0,SSO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,,LEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,SSO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,,LEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,,SSO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3938.0,GEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,2200.0,SSO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,700.0,LEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,3500.0,MEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,678.0,TLI,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,VAFB SLC 4E,34.632093,-120.610829,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,13260.0,VLEO,True
Falcon 9,KSC LC 39A,28.6080585,-80.6039558,,ISS,True
